y,wheel_1,wheel_2,wheel_3,ratios
45,1.0,-3.732240437158471,2.7322404371584708,1.00:-3.73:2.73
46,1.0,-3.5203565941865262,2.520356594186526,1.00:-3.52:2.52
47,1.0,-3.3327896998897697,2.3327896998897697,1.00:-3.33:2.33
48,1.0,-3.1654844233521584,2.1654844233521584,1.00:-3.17:2.17
49,1.0,-3.015239074025162,2.015239074025162,1.00:-3.02:2.02
50,1.0,-2.87949218182903,1.87949218182903,1.00:-2.88:1.88
51,1.0,-2.7561700563491542,1.756170056349154,1.00:-2.76:1.76
52,1.0,-2.643575922042663,1.643575922042663,1.00:-2.64:1.64
53,1.0,-2.54030797548288,1.5403079754828801,1.00:-2.54:1.54
54,1.0,-2.445197928787653,1.4451979287876529,1.00:-2.45:1.45
55,1.0,-2.3572643029292175,1.3572643029292175,1.00:-2.36:1.36
56,1.0,-2.2756764996884997,1.2756764996884995,1.00:-2.28:1.28
57,1.0,-2.1997268577110756,1.1997268577110756,1.00:-2.20:1.20
58,1.0,-2.128808696583299,1.1288086965832984,1.00:-2.13:1.13
59,1.0,-2.0623989035038295,1.0623989035038295,1.00:-2.06:1.06
60,1.0,-2.0000440025814945,1.0000440025814945,1.00:-2.00:1.00
61,1.062305356065053,-2.062305356065053,1.0,1.06:-2.06:1.00
62,1.1287091189899232,-2.1287091189899234,1.0,1.13:-2.13:1.00
63,1.1996206977674604,-2.19962069776746,1.0,1.20:-2.20:1.00
64,1.2755631268076706,-2.2755631268076706,1.0,1.28:-2.28:1.00
65,1.3571429931612777,-2.3571429931612777,1.0,1.36:-2.36:1.00
66,1.445067846201051,-2.4450678462010513,1.0,1.45:-2.45:1.00
67,1.5401681488033703,-2.5401681488033705,1.0,1.54:-2.54:1.00
68,1.6434252150585127,-2.643425215058513,1.0,1.64:-2.64:1.00
69,1.7560071300248312,-2.756007130024831,1.0,1.76:-2.76:1.00
70,1.879315445247702,-2.8793154452477023,1.0,1.88:-2.88:1.00
71,2.0150466200672623,-3.0150466200672623,1.0,2.02:-3.02:1.00
72,2.1652739431937693,-3.1652739431937693,1.0,2.17:-3.17:1.00
73,2.3325583676072656,-3.332558367607265,1.0,2.33:-3.33:1.00
74,2.5201009083662274,-3.520100908366227,1.0,2.52:-3.52:1.00
75,2.7319559993546485,-3.7319559993546485,1.0,2.73:-3.73:1.00
76,2.9733362884420425,-3.973336288442042,1.0,2.97:-3.97:1.00
77,3.2510581071300804,-4.25105810713008,1.0,3.25:-4.25:1.00
78,3.5742096748083387,-4.574209674808339,1.0,3.57:-4.57:1.00
79,3.9551837778302863,-4.955183777830286,1.0,3.96:-4.96:1.00
80,4.411330055788934,-5.411330055788934,1.0,4.41:-5.41:1.00
81,4.967708811708585,-5.967708811708586,1.0,4.97:-5.97:1.00
82,5.661910179584724,-6.661910179584724,1.0,5.66:-6.66:1.00
83,6.553004006626,-7.553004006625998,1.0,6.55:-7.55:1.00
84,7.73943961735676,-8.73943961735676,1.0,7.74:-8.74:1.00
85,9.398425294191327,-10.398425294191327,1.0,9.40:-10.40:1.00
86,11.884376978312542,-12.884376978312543,1.0,11.88:-12.88:1.00
87,16.02426437157259,-17.02426437157259,1.0,16.02:-17.02:1.00
88,24.298995343004837,-25.298995343004833,1.0,24.30:-25.30:1.00
89,49.11310677223742,-50.11310677223743,1.0,49.11:-50.11:1.00
90,1.414285327986719e+16,-1.414285327986719e+16,1.0,14142853279867190.00:-14142853279867190.00:1.00
91,-50.11310677223777,49.113106772237764,1.0,-50.11:49.11:1.00
92,-25.298995343004922,24.298995343004922,1.0,-25.30:24.30:1.00
93,-17.024264371572627,16.024264371572627,1.0,-17.02:16.02:1.00
94,-12.884376978312522,11.884376978312524,1.0,-12.88:11.88:1.00
95,-10.398425294191316,9.398425294191316,1.0,-10.40:9.40:1.00
96,-8.73943961735675,7.739439617356751,1.0,-8.74:7.74:1.00
97,-7.553004006626006,6.553004006626006,1.0,-7.55:6.55:1.00
98,-6.661910179584729,5.661910179584729,1.0,-6.66:5.66:1.00
99,-5.967708811708589,4.96770881170859,1.0,-5.97:4.97:1.00
100,-5.411330055788937,4.411330055788937,1.0,-5.41:4.41:1.00
101,-4.955183777830289,3.955183777830289,1.0,-4.96:3.96:1.00
102,-4.574209674808341,3.5742096748083414,1.0,-4.57:3.57:1.00
103,-4.251058107130078,3.2510581071300777,1.0,-4.25:3.25:1.00
104,-3.9733362884420407,2.973336288442041,1.0,-3.97:2.97:1.00
105,-3.731955999354647,2.731955999354647,1.0,-3.73:2.73:1.00
106,-3.5201009083662282,2.5201009083662287,1.0,-3.52:2.52:1.00
107,-3.3325583676072674,2.3325583676072674,1.0,-3.33:2.33:1.00
108,-3.16527394319377,2.16527394319377,1.0,-3.17:2.17:1.00
109,-3.015046620067263,2.0150466200672628,1.0,-3.02:2.02:1.00
110,-2.879315445247703,1.8793154452477028,1.0,-2.88:1.88:1.00
111,-2.756007130024832,1.7560071300248323,1.0,-2.76:1.76:1.00
112,-2.643425215058512,1.6434252150585116,1.0,-2.64:1.64:1.00
113,-2.54016814880337,1.5401681488033698,1.0,-2.54:1.54:1.00
114,-2.445067846201051,1.4450678462010509,1.0,-2.45:1.45:1.00
115,-2.357142993161279,1.3571429931612788,1.0,-2.36:1.36:1.00
116,-2.2755631268076706,1.2755631268076701,1.0,-2.28:1.28:1.00
